Time,Temp. (Degree Celcius)
29-Jul-2017 03:00 pm to 29-Jul-2017 04:00 pm,35.07
29-Jul-2017 04:00 pm to 29-Jul-2017 05:00 pm,33.73
29-Jul-2017 05:00 pm to 29-Jul-2017 06:00 pm,33.86
29-Jul-2017 06:00 pm to 29-Jul-2017 07:00 pm,32.21
29-Jul-2017 07:00 pm to 29-Jul-2017 08:00 pm,31.96
29-Jul-2017 08:00 pm to 29-Jul-2017 09:00 pm,32.14
29-Jul-2017 09:00 pm to 29-Jul-2017 10:00 pm,31.5
29-Jul-2017 10:00 pm to 29-Jul-2017 11:00 pm,31.14
29-Jul-2017 11:00 pm to 30-Jul-2017 12:00 am,31.02
30-Jul-2017 12:00 am to 30-Jul-2017 01:00 am,30.3
30-Jul-2017 01:00 am to 30-Jul-2017 02:00 am,30.42
30-Jul-2017 02:00 am to 30-Jul-2017 03:00 am,30.67
30-Jul-2017 03:00 am to 30-Jul-2017 04:00 am,30.45
30-Jul-2017 04:00 am to 30-Jul-2017 05:00 am,30.17
30-Jul-2017 05:00 am to 30-Jul-2017 06:00 am,30.15
30-Jul-2017 06:00 am to 30-Jul-2017 07:00 am,30.4
30-Jul-2017 07:00 am to 30-Jul-2017 08:00 am,31.47
30-Jul-2017 08:00 am to 30-Jul-2017 09:00 am,33.76
30-Jul-2017 09:00 am to 30-Jul-2017 10:00 am,34.31
30-Jul-2017 10:00 am to 30-Jul-2017 11:00 am,36.21
30-Jul-2017 11:00 am to 30-Jul-2017 12:00 pm,35.26
30-Jul-2017 12:00 pm to 30-Jul-2017 01:00 pm,35.49
30-Jul-2017 01:00 pm to 30-Jul-2017 02:00 pm,NA
30-Jul-2017 02:00 pm to 30-Jul-2017 03:00 pm,NA
30-Jul-2017 03:00 pm to 30-Jul-2017 04:00 pm,NA
30-Jul-2017 04:00 pm to 30-Jul-2017 05:00 pm,NA
30-Jul-2017 05:00 pm to 30-Jul-2017 06:00 pm,NA
30-Jul-2017 06:00 pm to 30-Jul-2017 07:00 pm,NA
30-Jul-2017 07:00 pm to 30-Jul-2017 08:00 pm,31.43
30-Jul-2017 08:00 pm to 30-Jul-2017 09:00 pm,31.44
30-Jul-2017 09:00 pm to 30-Jul-2017 10:00 pm,31.1
30-Jul-2017 10:00 pm to 30-Jul-2017 11:00 pm,30.76
30-Jul-2017 11:00 pm to 31-Jul-2017 12:00 am,29.57
31-Jul-2017 12:00 am to 31-Jul-2017 01:00 am,29.64
31-Jul-2017 01:00 am to 31-Jul-2017 02:00 am,28.86
31-Jul-2017 02:00 am to 31-Jul-2017 03:00 am,29.28
31-Jul-2017 03:00 am to 31-Jul-2017 04:00 am,30.15
31-Jul-2017 04:00 am to 31-Jul-2017 05:00 am,30.15
31-Jul-2017 05:00 am to 31-Jul-2017 06:00 am,29.95
31-Jul-2017 06:00 am to 31-Jul-2017 07:00 am,29.99
31-Jul-2017 07:00 am to 31-Jul-2017 08:00 am,31.35
31-Jul-2017 08:00 am to 31-Jul-2017 09:00 am,31.89
31-Jul-2017 09:00 am to 31-Jul-2017 10:00 am,33.06
31-Jul-2017 10:00 am to 31-Jul-2017 11:00 am,34.54
31-Jul-2017 11:00 am to 31-Jul-2017 12:00 pm,35.05
31-Jul-2017 12:00 pm to 31-Jul-2017 01:00 pm,32.05
31-Jul-2017 01:00 pm to 31-Jul-2017 02:00 pm,32.5
31-Jul-2017 02:00 pm to 31-Jul-2017 03:00 pm,34.59
31-Jul-2017 03:00 pm to 31-Jul-2017 04:00 pm,33.51
31-Jul-2017 04:00 pm to 31-Jul-2017 05:00 pm,32.06
31-Jul-2017 05:00 pm to 31-Jul-2017 06:00 pm,29.93
31-Jul-2017 06:00 pm to 31-Jul-2017 07:00 pm,29.76
31-Jul-2017 07:00 pm to 31-Jul-2017 08:00 pm,27.48
31-Jul-2017 08:00 pm to 31-Jul-2017 09:00 pm,28.99
31-Jul-2017 09:00 pm to 31-Jul-2017 10:00 pm,29.08
31-Jul-2017 10:00 pm to 31-Jul-2017 11:00 pm,29.32
31-Jul-2017 11:00 pm to 01-Aug-2017 12:00 am,29.08
01-Aug-2017 12:00 am to 01-Aug-2017 01:00 am,29.55
